#property	value	domain	default	required	description
Experiment	EXR-MTEWA1HealthyControls-EX	autoID(EXR, uniqAlphaNum, EX)			Document Describing Information About the Experiment; Experiment ID
----- 5' Adapter Concentration		measurement(uM)			Concentration of 5' adapter
---- 3' Ligase		enum(T4 RNA ligase 1, T4 RNA ligase 2, T4 RNA ligase 2 truncated, T4 RNA ligase 2 truncated K227Q, T4 RNA ligase 2 truncated R55K/K227Q,  Mth ligase, Other)			Ligase used for 3' ligation
----- Other 3' ligase		string			Other 3' ligase not in list
---- 5' Ligase		enum(T4 RNA ligase 1, Other)			Ligase used for 5' ligation
----- Other 5' ligase		string			Other 5' ligase not in list
---- Reverse Transcription Protocol		[valueless]			Category -- Reverse Transcription Protocol
----- Protocol Description		string			Protocol used for reverse transcription
--- Amplified		enum(Yes, No)		TRUE	Is the sample amplified ΓÇô Yes or No?
---- Amplification		string			Category -- PCR Amplification
----- Template Concentration		measurement(mM)			Concentration of PCR template
----- Polymerase Type		string			Type of polymerase
----- Thermocycling Program		string			Thermocycling program used in PCR
----- Number of Cycles		posInt			PCR number of cycles
----- Forward Primer Sequence		string			Sequence of forward primer
----- Reverse Primer Sequence		string			Sequence of reverse primer
----- Primer Concentration		measurement(ng)			Concentration of primer
----- Product Isolation Protocol		[valueless]			Category -- Product Isolation Protocol
------ Protocol Description		string			Protocol used for product isolation
------ Post PCR Size Selection		enum(Gel Purification, Pippin prep, SPRI bead)			Size selection after the PCR
---- DNA Quantification Method		enum(Picogreen, Bioanalyzer, Nanodrop, Qubit, Other)		TRUE	Method Used for Quantification of DNA (Picoogreen, Bioanalyzer, Nanodrop, Qubit, or Other)
----- Other DNA Quantification Method		string			Other method used for quantification of DNA, if not listed
--- Notes		string			Additional notes about this smRNA-seq protocol
* Custom Metadata		numItems			Custom metadata fiels defined by users
*- Property Name		string		TRUE	Name of the metadata property
*-- Value		string			Value of this additonal metadata property
*-- Notes		string			Additional notes about this metadata property and value
